idmeditable,nameMedi,useMedi,introMedi,warnMedi,takeMedi,sideEffectMedi,ifMissMedi
137,Claritin,"used to treat sneezing, runny nose, watery eyes, hives, skin rash, hay fever, itching, and other cold or allergy symptoms.","Claritin (loratadine) is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Claritin is used to treat sneezing, runny nose, watery eyes, hives, skin rash, hay fever, itching, and other cold or allergy symptoms. Claritin is also used to treat skin hives and itching in people with chronic skin reactions","You should not take Claritin if you are allergic to loratadine or to desloratadine (Clarinex). Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","Claritin is usually taken once per day. Follow your doctor's instructions. Do not crush, chew, or break the regular tablet. Swallow the tablet whole. Measure liquid medicine with the dosing syringe provided, or with a special dose-measuring spoon or medicine cup.The Claritin chewable tablet must be chewed before you swallow it.","hives, difficult breathing; swelling of your face, lips, tongue, or throat, fast or uneven heart rate, severe headache, or a light-headed feeling, like you might pass out","Claritin is used when needed. Do not use Claritin more than once in a 24-hour period. Do not use two doses at one time."
138,clindamycin,"used to treat serious infections caused by bacteria","Clindamycin is an antibiotic used for treatment of a number of bacterial infections, including bone or joint infections, pelvic inflammatory disease, strep throat, pneumonia, middle ear infections, and endocarditis. It can also be used to treat acne, and some cases of methicillin-resistant Staphylococcus aureus.","Before using clindamycin, tell your doctor if you have kidney disease, liver disease, an intestinal disorder such as colitis or Crohn's disease, or a history of asthma, eczema, or allergic skin reaction.","Clindamycin oral is taken by mouth. Clindamycin injection is injected into a muscle, or as an infusion into a vein. A healthcare provider will give your first dose and may teach you how to properly use the medication by yourself. Take the capsule with a full glass of water.","hives, difficult breathing, swelling in your face or throat or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling) and skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes.","Use the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra medicine to make up the missed "
139,"clobetasol topicalclobetasol topical","used to treat inflammation and itching","Clobetasol is a highly potent corticosteroid that helps reduce inflammation in the body. Clobetasol topical (for the skin) is used to treat inflammation and itching caused by plaque psoriasis and skin conditions that respond to corticosteroid medication. It is available in a cream, gel, ointment, lotion, solution, foam or spray.","Do not use clobetasol topical to treat acne, rosacea, or a rash around the mouth. Clobetasol may cause harm if swallowed. If swallowed, call a doctor or poison control center right away. This drug may raise the chance of cataracts or glaucoma. Talk with your doctor. It may affect growth in children and teens in some cases.","Do not use clobetasol on broken or infected skin. Also avoid using this medicine in open wounds. Wash your hands before and after using this drug, unless you are using the medicine to treat the skin on your hands. Apply a thin layer of medicine to the affected skin and rub it in gently. Do not apply this medicine over a large area of skin.","hives, difficult breathing; swelling of your face, lips, tongue, or throat. worsening of your skin condition, redness, warmth, swelling, oozing, or severe irritation of any treated skin, blurred vision, tunnel vision, eye pain, or seeing halos around lights","Apply the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not apply two doses at one time."
140,Clobex,"used to treat inflammation and itching caused by plaque psoriasis or skin conditions that respond to steroid medication","Clobetasol is a highly potent steroid that helps reduce inflammation in the body. Clobex (for the skin) is used to treat inflammation and itching caused by plaque psoriasis or skin conditions that respond to steroid medication.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","Wash your hands before and after using clobetasol, unless you are using the medicine to treat the skin on your hands. Apply a thin layer of medicine to the affected skin and rub it in gently. Do not apply this medicine over a large area of skin unless your doctor has told you to. Do not cover the treated skin area with a bandage or other covering.","hives; difficult breathing; swelling of your face, lips, tongue, or throat, worsening of your skin condition, redness, warmth, swelling, oozing, or severe irritation of any treated skin, blurred vision, tunnel vision, eye pain, or seeing halos around lights, high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor","Apply the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not apply two doses at one time."
141,clonazepam,"used to treat certain seizure disorders (including absence seizures or Lennox-Gastaut syndrome) in adults and children.","Clonazepam is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It is thought that benzodiazepines work by enhancing the activity of certain neurotransmitters in the brain. Clonazepam is used to treat certain seizure disorders (including absence seizures or Lennox-Gastaut syndrome) in adults and children. Clonazepam is also used to treat panic disorder (including agoraphobia).","Get medical help right away if you stop using clonazepam and have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, or thoughts about suicide. Do not stop using clonazepam without asking your doctor.","Do not stop using clonazepam suddenly, even if you feel fine. Stopping suddenly may cause increased seizures or unpleasant withdrawal symptoms. Follow your doctor's instructions about tapering your dose. Swallow the regular tablet whole, with a full glass of water.","hives, difficulty breathing; swelling of your face, lips, tongue, or throat and new or worse depression or anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
142,clonidine,"used to treat hypertension (high blood pressure)","Clonidine lowers blood pressure by decreasing the levels of certain chemicals in your blood. This allows your blood vessels to relax and your heart to beat more slowly and easily. Clonidine is used to treat hypertension (high blood pressure). Clonidine is also available as a transdermal patch worn on the skin. Do not use two forms of this medicine at the same time.","Before you take clonidine, tell your doctor if you have heart disease or severe coronary artery disease, a heart rhythm disorder, slow heartbeats, low blood pressure, a history of heart attack or stroke, kidney disease, or if you have ever had an allergic reaction to a Catapres TTS transdermal skin patch.","Clonidine is usually taken in the morning and at bedtime. If you take different doses of this medicine at each dosing time, it may be best to take the larger dose at bedtime. Clonidine may be taken with or without food. Swallow the extended-release tablet whole and do not crush, chew, or break it.","hives, difficult breathing; swelling of your face, lips, tongue, or throat. severe chest pain, shortness of breath, irregular heartbeats, a very slow heart rate or a light-headed feeling, like you might pass out.","Skip the missed dose and use your next dose at the regular time. Do not use two doses at one time."
143,Clopidogrel,"used to lower your risk of having a stroke, blood clot, or serious heart problem after you've had a heart attack, severe chest pain (angina), or circulation problems.","Clopidogrel, sold under the brand name Plavix among others, is an antiplatelet medication used to reduce the risk of heart disease and stroke in those at high risk. It is also used together with aspirin in heart attacks and following the placement of a coronary artery stent. It is taken by mouth.","You should not use clopidogrel if you have any active bleeding such as a stomach ulcer or bleeding in the brain. Do not stop taking clopidogrel without first talking to your doctor, even if you have signs of bleeding. Stopping clopidogrel may increase your risk of a heart attack or stroke.","Clopidogrel can be taken with or without food. Clopidogrel is sometimes taken together with aspirin. Take aspirin only if your doctor tells you to. You may need to stop using clopidogrel for a short time before a surgery, medical procedure, or dental work."," hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor or seek emergency medical attention if you have bleeding that will not stop, if you have blood in your urine, black or bloody stools, or if you cough up blood or vomit that looks like coffee grounds.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
144,clotrimazole,"used to treat and prevent yeast infections of the mouth and throat","Clotrimazole is used to treat and prevent yeast infections of the mouth and throat in adults and children older than 3 years The clotrimazole lozenge is not absorbed through your stomach. clotrimazole will not treat fungal infections in any other part of your body.","Use only as directed. Tell your doctor if you use other medicines or have other medical conditions or allergies.","Clotrimazole is usually given 3 to 5 times per day. Allow the lozenge to dissolve slowly in your mouth without chewing. You may need liver function tests. Store at room temperature away from moisture and heat. Avoid freezing."," hives; difficult breathing; swelling of your face, lips, tongue, or throat, abnormal liver function tests, nausea, vomiting, itching, or an unpleasant sensation in the mouth.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
145,clozapine,"used to treat schizophrenia after other treatments have failed","Clozapine is an antipsychotic medicine. It works by changing the actions of chemicals in the brain. Clozapine is used to treat schizophrenia after other treatments have failed. Clozapine is also used to reduce the risk of suicidal behavior in people with schizophrenia or similar disorders. Clozapine is available only from a certified pharmacy under a special program.","Clozapine can increase your risk of seizure, especially at high doses. Avoid any activity that could be dangerous if you have a seizure or lose consciousness. Clozapine can cause serious heart problems. Call your doctor right away if you have chest pain, trouble breathing, fast or pounding heartbeats or sudden dizziness.","You may take clozapine with or without food. Shake the oral suspension (liquid) for 10 seconds before you measure a dose. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon). Remove the package only when you are taking the medicine. Place the tablet in your mouth and allow it to dissolve, without chewing.","hives, difficult breathing, swelling in your face or throat or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling) and fever, flu-like symptoms, extreme weakness, mouth sores, skin sores, new or worsening cough, trouble breathing, pain or burning when you urinate or vaginal itching or discharge.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time. If you miss taking clozapine for more than 2 days in a row, call your doctor before you start taking it again."
146,codeine,"used to treat mild to moderately severe pain.","Codeine is a weak narcotic pain reliever and cough suppressant that is similar to morphine and hydrocodone. A small amount of ingested codeine is converted to morphine in the body. Codeine increases tolerance to pain, reducing existing discomfort.","You should not use codeine if you have severe breathing problems, a blockage in your stomach or intestines, or frequent asthma attacks or hyperventilation. Codeine can slow or stop your breathing, cause profound sedation, and may be habit-forming.","Take this medicine with food or milk if it upsets your stomach. Drink 6 to 8 full glasses of water daily to help prevent constipation while you are taking this medicine. Do not use a stool softener (laxative) without first asking your doctor. Do not stop using codeine suddenly after long-term use, or you could have unpleasant withdrawal symptoms.","hives, difficult breathing; swelling of your face, lips, tongue, or throat. Like other narcotic medicines, codeine can slow your breathing. Death may occur if breathing becomes too weak, slow breathing with long pauses and blue colored lips, or if you are hard to wake up.","Since this medicine is used for pain, you are not likely to miss a dose. Skip any missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
147,Colace,"used to treat or prevent occasional","Colace (docusate) is a stool softener. It makes bowel movements softer and easier to pass. Colace is used to treat or prevent occasional constipation, and to reduce pain or rectal damage caused by hard stools or by straining during bowel movements.","You should not use Colace if you have a blockage in your intestines. Do not use Colace while you are sick with nausea, vomiting, or severe stomach pain.","Take this medicine with a full glass of water. Drink plenty of liquids while you are taking this medicine. Read and carefully follow any Instructions for Use provided with your medicine. Ask your doctor or pharmacist if you do not understand these instructions. Colace generally produces bowel movement in 12 to 72 hours.","hives, difficult breathing; swelling of your face, lips, tongue, or throat, rectal bleeding or irritation or no bowel movement after 72 hours.","Since Colace is used when needed, you may not be on a dosing schedule. Skip any missed dose if it's almost time for your next dose. Do not use two doses at one time."
148,Colazal,"used to treat mild to moderate active ulcerative colitis","The Colazal brand of balsalazide is used to treat mild to moderately active ulcerative colitis in adults and children who are at least 5 years old. The Giazo brand of balsalazide is used to treat mild to moderately active ulcerative colitis in men who are at least 18 years old.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","Colazal can be taken with or without food. If you cannot swallow a capsule whole, open it and sprinkle the medicine into a spoonful of applesauce. Swallow the mixture right away. Medicine from the capsule may stain your teeth or tongue yellow/orange when mixed with food. Do not save the mixture for later use.","pain or burning when you urinate, fever, stomach pain, cramps, or bloody diarrhea, little or no urinating, swelling, rapid weight gain, upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice or pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
149,colchicine,"used to prevent or treat attacks of gout (also called gouty arthritis)","Colchicine affects the way the body responds to uric acid crystals, which reduces swelling and pain.The Colcrys brand of colchicine is FDA-approved to treat or prevent gout in adults, and to treat a genetic condition called Familial Mediterranean Fever in adults and children who are at least 4 years old. Colchicine is not a cure for gouty arthritis or Behcets syndrome, and it will not prevent these diseases from progressing.","Serious drug interactions can occur when certain medicines are used together with colchicine. Tell each of your healthcare providers about all medicines you use now, and any medicine you start or stop using.","Colchicine can be taken with or without food. To treat a gout attack, for best results take colchicine at the first sign of the attack. The longer you wait to start taking the medication, the less effective it may be. You may need to take a second lower dose of colchicine 1 hour after the first dose if you still have gout pain.","muscle pain or weakness, numbness or tingly feeling in your fingers or toes, pale or gray appearance of your lips, tongue, or hands, severe or ongoing vomiting or diarrhea, fever, chills, body aches, flu symptoms or easy bruising, unusual bleeding, feeling weak or tired.","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
150,Concerta,"used as a part of a total treatment program for ADHD that may include counseling or other therapies","Concerta (methylphenidate) is a central nervous system stimulant prescription medicine. It affects chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Concerta extended-release tablets are used to treat attention deficit hyperactivity disorder (ADHD). Concerta should be used as a part of a total treatment program for ADHD that may include counseling or other therapies.","You should not use Concerta if you have glaucoma, tics or Tourette's syndrome, or severe anxiety, tension, or agitation. Methylphenidate may be habit-forming, and this medicine is a drug of abuse. Tell your doctor if you have had problems with drug or alcohol abuse.","Take Concerta once each day in the morning. Concerta is an extended-release tablet. It releases medication into your or your child's body throughout the day. Concerta can be taken with or without food, but take it the same way each time. Do not chew, crush, or break the Concerta tablets. Swallow the tablets whole with water or other liquids.","chest pain, trouble breathing, feeling like you might pass out, hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia, numbness, pain, cold feeling, unexplained wounds, or skin color changes in your fingers or toes or penis erection that is painful or lasts 4 hours or longer.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
151,Coreg,"used to treat heart failure and hypertension (high blood pressure)","Coreg (carvedilol) is a beta-blocker. Beta-blockers affect the heart and circulation (blood flow through arteries and veins). Coreg is used to treat heart failure and hypertension (high blood pressure). Coreg is also used after a heart attack that has caused your heart not to pump as well.","You should not take Coreg if you have asthma, bronchitis, emphysema, severe liver disease, or a serious heart condition such as heart block, "sick sinus syndrome," or slow heart rate (unless you have a pacemaker).","Swallow the extended-release capsule whole and do not crush, chew, break, or open it. If you cannot swallow a capsule whole, open it and sprinkle the medicine into a spoonful of cold applesauce. Swallow the mixture right away without chewing. Do not save it for later use.","hives, difficulty breathing; swelling of your face, lips, tongue, or throat, a light-headed feeling, like you might pass out, slow or uneven heartbeats, cold feeling or numbness in your fingers or toes, chest pain, dry cough, wheezing, chest tightness","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
152,Cosentyx,"used to treat adults and children 6 years of age and older with moderate to severe plaque psoriasis","Cosentyx (secukinumab) is an immunosuppressant that reduces the effects of a chemical substance in the body that can cause inflammation. Cosentyx is used to treat adults and children 6 years of age and older with moderate to severe plaque psoriasis (raised, silvery flaking of the skin) that involves large areas or many areas of the body, and who may benefit from using injections or pills (systemic therapy) or phototherapy.","Call your doctor right away if you have signs of infection such as: fever, chills, sweats, muscle aches, skin sores, stomach pain, diarrhea, burning when you urinate, weight loss, cough, shortness of breath, or a cough with red or pink mucus.","Do not inject within 2 inches of your navel (belly button). You may get infections more easily, even serious infections. You will need frequent medical tests. Do not reuse a needle or syringe. Store Cosentyx in the original container in a refrigerator. Protect from light and do not shake or freeze."," hives; chest tightness, difficult breathing; feeling like you might pass out; swelling of your face, lips, tongue, or throat, redness, warmth, or painful sores on your skin, cough, shortness of breath, cough with red or pink mucus, increased urination, burning when you urinate, sores or white patches in your mouth or throat","Call your doctor for instructions if you miss a dose of Cosentyx."
153,Coumadin,"used to treat or prevent blood clots in veins or arteries, which can reduce the risk of stroke, heart attack","Coumadin (warfarin) is an anticoagulant (blood thinner). Warfarin reduces the formation of blood clots. Coumadin is used to treat or prevent blood clots in veins or arteries, which can reduce the risk of stroke, heart attack, or other serious conditions.","You should not take Coumadin if you are prone to bleeding because of a medical condition, if you have an upcoming surgery, or if you need a spinal tap or epidural. Do not take Coumadin if you cannot take it on time every day.","Do not take warfarin in larger or smaller amounts or for longer than your doctor tells you to. Take this medicine at the same time every day, with or without food. Never take a double dose. Coumadin can make it easier for you to bleed. Seek emergency help if you have any bleeding that will not stop.","hives, difficult breathing; swelling of your face, lips, tongue, or throat. Coumadin increases your risk of bleeding, which can be severe or life-threatening","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
154,Crestor,"used in adults and children who are at least 8 years old to lower cholesterol and triglycerides in the blood.","Crestor (rosuvastatin) belongs to a a group of drugs called HMG CoA reductase inhibitors, or "statins." Rosuvastatin is used together with diet to lower blood levels of "bad" cholesterol (low-density lipoprotein, or LDL), to increase levels of "good" cholesterol, and to lower triglycerides. Crestor is used in adults to slow the progression of atherosclerosis (a build-up of plaque in blood vessels that can block blood flow).","Before taking Crestor, tell your doctor if you have ever had liver or kidney disease, diabetes, or a thyroid disorder, if you are of Chinese descent, or if you drink more than 2 alcoholic beverages daily. In rare cases, Crestor can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure.","Crestor is usually taken once a day, with or without food. Take the medicine at the same time each day. While using this medicine, you may need frequent blood tests. Keep using this medicine as directed, even if you feel well. High cholesterol usually has no symptoms. You may need to take Crestor on a long-term basis.ue, leading to kidney failure.","hives, difficult breathing; swelling of your face, lips, tongue, or throat, unexplained muscle pain, tenderness, or weakness, muscle weakness in your hips, shoulders, neck, and back, trouble lifting your arms, trouble climbing or standing;","Take the missed dose as soon as you remember. If you are more than 12 hours late, skip the missed dose. Do not take extra medicine to make up the missed dose."
155,cyanocobalamin,"used to treat vitamin B12 deficiency in people with pernicious anemia","Cyanocobalamin is a form of vitamin B12. Vitamin B12 is important for growth, cell reproduction, blood formation, and protein and tissue synthesis. Cyanocobalamin is used to treat vitamin B12 deficiency in people with pernicious anemia or other conditions such as folic acid deficiency, pregnancy, thyroid problems, stomach and intestinal disorders, bleeding, liver or kidney disease, parasite infection, or cancer.","You should not use cyanocobalamin if you are allergic to cobalt, or if you have Leber's disease.","Swallow the extended-release tablet whole and do not crush, chew, or break it. Take with a full glass of water. Do not swallow a lozenge or sublingual tablet whole. Allow it to dissolve in your mouth without chewing. Cyanocobalamin sublingual tablet or liquid should be placed under your tongue.","hives, difficulty breathing; swelling of your face, lips, tongue, or throat, easy bruising or bleeding (nosebleeds, bleeding gums),extreme tiredness, a light-headed feeling, like you might pass out, pale skin, blue lips or fingernails, pain, vision problems;","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
156,cyclobenzaprine,"used together with rest and physical therapy to treat skeletal muscle conditions such as pain or injury.","Cyclobenzaprine is a muscle relaxant. It works by blocking nerve impulses (or pain sensations) that are sent to your brain. Cyclobenzaprine is used together with rest and physical therapy to treat skeletal muscle conditions such as pain or injury.","You should not use cyclobenzaprine if you have an allergy to the medication, a certain type of thyroid disorder (hyperthyroidism), heart block, congestive heart failure, a heart rhythm disorder, or you have recently had a heart attack.","Follow your doctor's dosing instructions very carefully. Swallow the capsule whole and do not crush, chew, break, or open it. Call your doctor if your symptoms do not improve after 3 weeks, or if they get worse. Store at room temperature away from moisture, heat, and light.","hives; difficult breathing; swelling of your face, lips, tongue, or throat, fast or irregular heartbeats, chest pain or pressure, pain spreading to your jaw or shoulder or sudden numbness or weakness (especially on one side of the body), slurred speech, balance problems.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
157,Cymbalta,"used in adults to treat nerve pain caused by diabetes or chronic muscle or joint pain","Cymbalta (duloxetine) is a selective serotonin and norepinephrine reuptake inhibitor antidepressant (SSNRI). Duloxetine affects chemicals in the brain that may be unbalanced in people with depression. Cymbalta is used to treat major depressive disorder in adults. It is also used to treat general anxiety disorder in adults and children who are at least 7 years old.","Do not take Cymbalta within 5 days before or 14 days after you have used a MAO inhibitor, such as isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, or tranylcypromine, or methylene blue injection or if you have narrow angle glaucoma.","Swallow the capsule whole and do not crush, chew, break, or open it. Take with or without food. Your blood pressure will need to be checked often.","hives, difficult breathing, swelling in your face or throat or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling), new or worse depression or anxiety, panic attacks, trouble sleeping, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
158,Dapagliflozin,"used with diet and exercise to improve blood sugar control in adults with type 2 diabetes mellitus (not for type 1 diabetes","Dapagliflozin is also used to lower the risk of needing to be in a hospital for heart failure in adults with type 2 diabetes who also have heart disease and lower the risk of dying or needing to be in a hospital for heart failure when your heart cannot pump blood properly. Dapagliflozin is also used to reduce the risk of end-stage kidney disease and hospitalization or death from heart problems in adults who also have kidney problems caused by type 2 diabetes.","Tell your doctor if you are sick with vomiting or diarrhea, or if you eat or drink less than usual. Dapagliflozin can cause serious infections around the penis or vagina.","Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed. You may take dapagliflozin with or without food. Store at room temperature away from moisture and heat.","hives; difficult breathing; swelling of your face, lips, tongue, or throat, signs of a genital infection (penis or vagina): burning, itching, odor, discharge, pain, tenderness, redness or swelling of the genital or rectal area, fever, not feeling well, confusion, feeling very thirsty, less urination","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
159,Darzalex,"used to treat multiple myeloma (bone marrow cancer).","Darzalex (daratumumab) is a monoclonal antibody that blocks a certain protein in the body that can affect tumor cell growth. Monoclonal antibodies are made to target and destroy only certain cells in the body. This may help to protect healthy cells from damage. Darzalex is used to treat multiple myeloma (bone marrow cancer). Darzalex is sometimes given after other cancer treatments did not work or have stopped working.","If you've ever had hepatitis B, using daratumumab can cause this virus to become active or get worse. Tell your doctor if you don't feel well and you have right-sided upper stomach pain, vomiting, loss of appetite, or yellowing of your skin or eyes.","Darzalex is usually given every 1 to 3 weeks during the first several weeks of treatment. Then it is given once every 4 weeks until your body no longer responds to the medicine. Your doctor will determine how long to treat you with this medicine.","ives; difficult breathing; swelling of your face, lips, tongue, or throat, dizzy, itchy, nauseated, or if you have a headache, stuffy nose, runny nose, cough, fever, chills, wheezing, trouble breathing, or a tight feeling in your throat, Call your doctor at once if you have, cough with yellow or green mucus, stabbing chest pain, wheezing, feeling short of breath","Call your doctor for instructions if you miss an appointment for your Darzalex injection."
160,Decadron,"used to treat many different conditions such as allergic disorders, skin conditions","Decadron is a steroid that prevents the release of substances in the body that cause inflammation. Decadron is used to treat many different conditions such as allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders.","You should not use Decadron if you have a fungal infection anywhere in your body. Tell your doctor about all your medical conditions, and all the medicines you are using. There are many other diseases that can be affected by steroid use, and many other medicines that can interact with steroids.","Follow all directions on your prescription label and read all medication guides or instruction sheets. Your doctor may occasionally change your dose. Use the medicine exactly as directed. Do not stop using Decadron suddenly, or you could have unpleasant withdrawal symptoms. Ask your doctor how to safely stop using this medicine.","hives; difficulty breathing; swelling of your face, lips, tongue, or throat, muscle tightness, weakness, or limp feeling, blurred vision, tunnel vision, eye pain, or seeing halos around lights, shortness of breath (even with mild exertion), swelling, rapid weight gain, severe depression, unusual thoughts or behavior, a seizure (convulsions)","Call your doctor for instructions if you miss a dose of Decadron."
161,Degarelix,"used to treat prostate cancer","Degarelix is a man-made form of a protein that reduces the amount of certain hormones in the body, including testosterone. Degarelix injection is used to treat prostate cancer. It works by decreasing the amount of testosterone in the body, which the tumor needs to grow.","Before you receive degarelix, tell your doctor if you have liver or kidney disease, a personal or family history of "Long QT syndrome," congestive heart failure, or an electrolyte imbalance, such as low or high levels of potassium or magnesium in your blood.","Degarelix is injected under the skin around your stomach. A healthcare provider will give you this injection. On the day of your injection, avoid wearing a belt, tight waistband, or tight clothing around your stomach where the injection will be given. Degarelix is usually given once every 28 days. Follow your doctor's instructions.","fast or pounding heartbeats, fluttering in your chest, shortness of breath, sudden dizziness (like you might pass out) or severe headache, blurred vision, pounding in your neck or ears.","Call your doctor for instructions if you miss an appointment for your injection."
162,Delzicol,"used to treat mild to moderate ulcerative colitis.","Delzicol is used to treat mild to moderate ulcerative colitis. This medicine is also used to prevent the symptoms of ulcerative colitis from recurring. Some brands of mesalamine are for use only in adults, and some brands are for use in children who are at least 5 years old.","Stop using Delzicol and call your doctor at once if you have severe stomach pain, stomach cramping, bloody diarrhea (may occur with fever, headache, and skin rash).","Take Asacol HD on an empty stomach, at least 1 hour before or 2 hours after a meal. It should be taken with a meal. You may take Apriso with or without food. Drink plenty of liquids to help prevent kidney stones.","hives; difficulty breathing; swelling of your face, lips, tongue, or throat, severe stomach pain, stomach cramping, bloody diarrhea, fever, headache, general ill feeling, rash, itching, eye redness, bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
163,Demerol,"used to help relieve moderate to severe pain. It may also be used before and during surgery or other procedures","Demerol (meperidine) is an opioid pain medication. An opioid is sometimes called a narcotic. Demerol is a strong prescription pain medicine that is used to manage the relief short-term pain, when other pain treatments such as non-opioid pain medicines do not treat your pain well enough or you cannot tolerate them.","Do not use Demerol if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine.","Demerol tablets are taken by mouth. Demerol injection is given as an infusion into a vein, or injected into a muscle or under the skin. A healthcare provider will give you this injection. Never crush or break a Demerol tablet to inhale the powder or mix it into a liquid to inject the drug into your vein.","hives difficult breathing; swelling of your face, lips, tongue, or throat,  slow breathing with long pauses, blue colored lips, or if you are hard to wake up. slow heartbeats, weak or shallow breathing, breathing that stops during sleep, severe drowsiness, feeling like you might pass out, mood changes, severe constipation","Since Demerol is used for pain, you are not likely to miss a dose. Skip any missed dose if it is almost time for your next dose. Do not use two doses at one time."
164,Denosumab,"used to treat osteoporosis or bone loss in men and women who have a high risk of bone fracture","Denosumab is a monoclonal antibody. Monoclonal antibodies are made to target and destroy only certain cells in the body. This may help to protect healthy cells from damage. Prolia is sometimes used in people whose bone fracture is caused by certain medicines or cancer treatments. Xgeva is another brand of denosumab used to prevent bone fractures and other skeletal conditions in people with tumors that have spread to the bone.","Call your doctor at once if you have a fever, chills, pain or burning when you urinate, severe stomach pain, cough, shortness of breath, skin problems, numbness or tingling, severe or unusual pain, or skin problems. Do not use if you are pregnant. Use effective birth control while using Prolia, and for at least 5 months after you stop.","Denosumab is injected under the skin of your stomach, upper thigh, or upper arm. A healthcare provider will give you this injection. Prolia is usually given once every 6 months. Your doctor may have you take extra calcium and vitamin D while you are being treated with denosumab.","hives, itching, rash; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat, new or unusual pain in your thigh, hip, or groin, severe pain in your joints, muscles, or bone, skin problems such as dryness, peeling, redness, itching, blisters, bumps, oozing, or crusting","Call your doctor for instructions if you miss a dose or miss an appointment for your Prolia injection. You should receive your missed injection as soon as possible."
